FLIGHT_ID,WEATHER_CONDITION,AIRFRAME_HOURS,PAYLOAD_WEIGHT,AIRCRAFT_TYPE,TAKE OFF_OUTCOME
204,0,24,62,PASSENGER,FAILURE
205,0,21,96,PASSENGER,FAILURE
206,1,31,63,CARGO,SUCCESS
207,0,40,33,PASSENGER,SUCCESS
208,0,36,91,CARGO,SUCCESS
209,1,23,68,PASSENGER,SUCCESS
210,1,69,5,CARGO,FAILURE
211,0,32,98,PASSENGER,SUCCESS
212,1,42,41,PASSENGER,SUCCESS
213,1,24,72,PASSENGER,SUCCESS
214,0,42,15,PASSENGER,FAILURE
215,1,42,73,PASSENGER,SUCCESS
216,0,21,72,PASSENGER,SUCCESS
217,0,32,17,PASSENGER,FAILURE
218,1,55,19,PASSENGER,FAILURE
219,1,56,35,PASSENGER,FAILURE
220,0,67,26,PASSENGER,FAILURE
221,0,48,21,PASSENGER,FAILURE
222,1,36,92,CARGO,SUCCESS
223,1,29,36,PASSENGER,SUCCESS
224,0,56,14,CARGO,FAILURE
225,1,22,80,PASSENGER,SUCCESS
226,0,64,36,PASSENGER,FAILURE
227,0,23,72,PASSENGER,SUCCESS
228,1,35,33,CARGO,FAILURE
229,0,19,55,PASSENGER,SUCCESS
230,0,42,45,PASSENGER,SUCCESS
231,0,22,66,PASSENGER,SUCCESS
232,0,40,69,PASSENGER,SUCCESS
233,0,35,66,PASSENGER,SUCCESS
234,1,22,38,CARGO,SUCCESS
235,0,26,58,PASSENGER,SUCCESS
236,1,46,40,CARGO,FAILURE
237,1,46,36,PASSENGER,FAILURE
238,1,41,100,PASSENGER,SUCCESS
239,0,35,16,CARGO,FAILURE
240,0,56,27,CARGO,FAILURE
241,0,25,52,CARGO,SUCCESS
242,1,55,6,CARGO,FAILURE
243,1,33,31,CARGO,FAILURE
244,0,62,29,CARGO,FAILURE
245,0,33,92,PASSENGER,SUCCESS
246,1,49,5,CARGO,FAILURE
247,1,18,83,PASSENGER,SUCCESS
248,0,33,92,CARGO,SUCCESS
249,1,44,19,CARGO,FAILURE
250,0,52,36,CARGO,FAILURE
251,1,70,18,CARGO,FAILURE
252,0,45,39,PASSENGER,SUCCESS
253,1,55,22,PASSENGER,FAILURE
254,1,54,6,CARGO,FAILURE
255,1,41,35,CARGO,FAILURE
256,1,42,83,CARGO,SUCCESS
257,1,42,84,PASSENGER,SUCCESS
258,0,55,26,CARGO,FAILURE
259,0,39,8,CARGO,FAILURE
260,0,24,89,CARGO,SUCCESS
261,1,55,24,PASSENGER,FAILURE
262,1,48,9,PASSENGER,FAILURE
263,0,58,28,CARGO,FAILURE
264,0,56,14,PASSENGER,FAILURE
265,1,43,33,PASSENGER,FAILURE
266,1,38,78,PASSENGER,SUCCESS
267,1,63,23,CARGO,FAILURE
268,0,69,35,PASSENGER,FAILURE
269,1,43,88,PASSENGER,SUCCESS
270,1,35,97,PASSENGER,SUCCESS
271,1,19,30,CARGO,SUCCESS
272,1,46,8,PASSENGER,FAILURE
273,1,41,84,PASSENGER,SUCCESS
274,1,33,81,CARGO,SUCCESS
275,0,56,39,CARGO,FAILURE
276,1,64,20,CARGO,FAILURE
277,1,29,85,PASSENGER,SUCCESS
278,1,38,97,PASSENGER,SUCCESS
279,1,40,63,PASSENGER,SUCCESS
280,1,39,35,CARGO,FAILURE
281,1,61,20,CARGO,FAILURE
282,1,47,37,CARGO,FAILURE
283,0,45,76,PASSENGER,SUCCESS
284,0,19,94,PASSENGER,SUCCESS
285,1,37,15,CARGO,FAILURE
286,1,47,34,PASSENGER,FAILURE
287,0,60,13,PASSENGER,FAILURE
288,0,24,83,PASSENGER,SUCCESS
289,1,24,60,CARGO,SUCCESS
290,0,31,38,PASSENGER,SUCCESS
291,0,30,25,CARGO,FAILURE
292,0,64,35,PASSENGER,FAILURE
293,1,36,58,PASSENGER,SUCCESS
294,1,37,11,PASSENGER,FAILURE
295,0,32,47,PASSENGER,SUCCESS
296,1,59,27,PASSENGER,FAILURE
297,0,59,30,PASSENGER,FAILURE
298,0,64,22,CARGO,FAILURE
299,0,70,31,PASSENGER,FAILURE
300,1,26,31,PASSENGER,SUCCESS
301,1,19,32,PASSENGER,SUCCESS
302,0,37,33,PASSENGER,FAILURE
303,1,30,20,PASSENGER,FAILURE
304,0,27,89,CARGO,SUCCESS
305,0,60,31,PASSENGER,FAILURE
306,0,37,60,CARGO,SUCCESS
307,0,34,76,PASSENGER,SUCCESS
308,1,20,70,PASSENGER,SUCCESS
309,0,49,16,PASSENGER,FAILURE
310,0,53,21,CARGO,FAILURE
311,1,25,40,PASSENGER,SUCCESS
312,1,37,54,PASSENGER,SUCCESS
313,0,47,13,CARGO,FAILURE
314,1,20,30,PASSENGER,SUCCESS
315,1,31,51,PASSENGER,SUCCESS
316,1,48,14,PASSENGER,FAILURE
317,0,32,40,CARGO,FAILURE
318,0,40,15,CARGO,FAILURE
319,0,30,9,CARGO,FAILURE
320,1,48,25,PASSENGER,FAILURE
321,0,45,53,CARGO,SUCCESS
322,1,38,37,PASSENGER,SUCCESS
323,0,63,24,CARGO,FAILURE
324,0,35,41,PASSENGER,SUCCESS
325,0,63,19,PASSENGER,FAILURE
326,1,24,62,PASSENGER,SUCCESS
327,1,55,15,CARGO,FAILURE
328,1,65,17,CARGO,FAILURE
329,0,60,10,CARGO,FAILURE
330,0,24,84,PASSENGER,SUCCESS
331,1,46,39,PASSENGER,FAILURE
332,1,33,11,PASSENGER,FAILURE
333,1,41,41,PASSENGER,SUCCESS
334,0,48,17,PASSENGER,FAILURE
335,0,53,30,PASSENGER,FAILURE
336,1,41,31,CARGO,FAILURE
337,0,44,44,PASSENGER,SUCCESS
338,0,47,33,CARGO,FAILURE
339,1,60,33,PASSENGER,FAILURE
340,0,33,55,PASSENGER,SUCCESS
341,0,38,47,PASSENGER,SUCCESS
342,0,41,73,CARGO,SUCCESS
343,0,24,74,PASSENGER,SUCCESS
344,0,40,27,CARGO,FAILURE
345,0,23,32,PASSENGER,SUCCESS
346,1,57,5,PASSENGER,FAILURE
347,1,66,9,CARGO,FAILURE
348,0,40,30,PASSENGER,FAILURE
349,0,51,35,CARGO,FAILURE
350,1,27,83,CARGO,SUCCESS
351,1,43,28,PASSENGER,FAILURE
352,0,34,6,PASSENGER,FAILURE
353,0,28,45,PASSENGER,SUCCESS
354,0,20,46,CARGO,SUCCESS
355,1,55,33,PASSENGER,FAILURE
356,0,23,82,CARGO,SUCCESS
357,1,46,29,CARGO,FAILURE
358,0,23,86,PASSENGER,SUCCESS
359,1,42,35,PASSENGER,FAILURE
360,1,40,27,CARGO,FAILURE
361,1,45,100,PASSENGER,SUCCESS
362,1,20,44,CARGO,SUCCESS
363,1,50,11,PASSENGER,FAILURE
364,1,26,53,PASSENGER,SUCCESS
365,1,31,69,CARGO,SUCCESS
366,0,26,68,PASSENGER,SUCCESS
367,1,63,27,CARGO,FAILURE
368,1,47,33,CARGO,FAILURE
369,1,68,38,CARGO,FAILURE
370,1,65,29,CARGO,FAILURE
371,0,31,92,PASSENGER,SUCCESS
372,1,44,8,CARGO,FAILURE
373,0,30,90,PASSENGER,SUCCESS
374,1,31,35,PASSENGER,FAILURE
375,1,31,17,PASSENGER,FAILURE
376,1,60,19,CARGO,FAILURE
377,1,21,78,PASSENGER,SUCCESS
378,0,49,24,CARGO,FAILURE
379,1,28,33,PASSENGER,SUCCESS
380,0,41,52,CARGO,SUCCESS
381,0,33,35,CARGO,FAILURE
382,1,31,24,CARGO,FAILURE
383,1,60,40,CARGO,FAILURE
384,0,38,38,PASSENGER,SUCCESS
385,0,30,52,PASSENGER,SUCCESS
386,1,33,10,CARGO,FAILURE
387,0,47,28,CARGO,FAILURE
388,1,31,57,PASSENGER,SUCCESS
389,0,27,98,PASSENGER,SUCCESS
390,1,68,6,CARGO,FAILURE
391,1,28,41,PASSENGER,SUCCESS
392,0,36,39,PASSENGER,FAILURE
393,1,42,65,PASSENGER,SUCCESS
394,1,56,36,PASSENGER,FAILURE
395,1,48,18,CARGO,FAILURE
396,1,67,11,CARGO,FAILURE
397,0,40,7,CARGO,FAILURE
398,1,45,8,CARGO,FAILURE
399,0,61,17,PASSENGER,FAILURE
400,0,34,85,PASSENGER,SUCCESS
401,1,42,48,PASSENGER,SUCCESS
402,1,54,24,PASSENGER,FAILURE
403,0,43,35,CARGO,SUCCESS
404,0,40,14,CARGO,FAILURE
405,0,42,20,CARGO,FAILURE
406,0,39,14,PASSENGER,FAILURE
407,1,46,11,PASSENGER,FAILURE
408,0,34,26,CARGO,FAILURE
409,0,52,15,CARGO,FAILURE
410,1,65,14,PASSENGER,FAILURE
411,1,30,94,CARGO,SUCCESS
412,0,55,11,CARGO,FAILURE
413,0,36,17,CARGO,FAILURE
414,1,42,43,CARGO,SUCCESS
415,0,34,30,PASSENGER,FAILURE
416,0,44,64,PASSENGER,SUCCESS
417,0,45,18,CARGO,FAILURE
418,0,38,29,CARGO,FAILURE
419,1,30,71,CARGO,SUCCESS
420,1,63,5,PASSENGER,FAILURE
421,1,25,35,PASSENGER,SUCCESS
422,1,55,22,CARGO,FAILURE
423,1,31,22,PASSENGER,FAILURE
424,1,36,82,PASSENGER,SUCCESS
425,1,56,7,CARGO,FAILURE
426,0,66,23,PASSENGER,FAILURE
427,1,49,31,PASSENGER,FAILURE
428,0,36,57,PASSENGER,SUCCESS
429,1,22,45,PASSENGER,SUCCESS
430,1,33,65,PASSENGER,SUCCESS
431,1,61,28,CARGO,FAILURE
432,1,30,14,CARGO,FAILURE
433,0,68,15,CARGO,FAILURE
434,1,31,15,CARGO,FAILURE
435,0,51,23,CARGO,FAILURE
436,1,45,78,PASSENGER,SUCCESS
437,0,51,37,PASSENGER,FAILURE
438,1,45,7,PASSENGER,FAILURE
439,1,32,37,CARGO,FAILURE
440,0,31,12,CARGO,FAILURE
441,0,48,28,PASSENGER,FAILURE
442,1,36,33,PASSENGER,SUCCESS
443,1,69,38,CARGO,FAILURE
444,1,69,14,CARGO,FAILURE
445,0,68,38,CARGO,FAILURE
446,0,48,22,CARGO,FAILURE
447,0,38,47,PASSENGER,SUCCESS
448,0,58,30,CARGO,FAILURE
449,0,32,65,PASSENGER,SUCCESS
450,0,69,24,PASSENGER,FAILURE
451,1,39,7,CARGO,FAILURE
452,0,40,38,CARGO,FAILURE
453,0,56,37,CARGO,FAILURE
454,1,46,26,PASSENGER,FAILURE
455,0,64,24,CARGO,FAILURE
456,0,18,94,PASSENGER,SUCCESS
457,0,21,94,PASSENGER,SUCCESS
458,1,60,11,CARGO,FAILURE
459,0,43,51,PASSENGER,SUCCESS
460,1,59,13,CARGO,FAILURE
461,1,44,15,PASSENGER,FAILURE
462,1,30,20,PASSENGER,FAILURE
463,1,32,88,PASSENGER,SUCCESS
464,1,41,69,CARGO,SUCCESS
465,1,24,56,CARGO,SUCCESS
466,0,55,25,CARGO,FAILURE
467,0,21,80,PASSENGER,SUCCESS
468,0,28,45,PASSENGER,SUCCESS
469,1,68,31,PASSENGER,FAILURE
470,1,45,98,PASSENGER,SUCCESS
471,1,56,30,CARGO,FAILURE
472,0,33,63,CARGO,SUCCESS
473,1,19,35,PASSENGER,SUCCESS
474,0,56,26,PASSENGER,FAILURE
475,1,32,70,PASSENGER,SUCCESS
476,0,40,74,PASSENGER,SUCCESS
477,0,32,38,CARGO,FAILURE
478,1,40,93,PASSENGER,SUCCESS
479,0,65,28,CARGO,FAILURE
480,0,63,9,PASSENGER,FAILURE
481,0,29,76,PASSENGER,SUCCESS
482,1,45,77,CARGO,SUCCESS
483,1,37,38,CARGO,FAILURE
484,0,69,15,PASSENGER,FAILURE
485,1,44,22,CARGO,FAILURE
486,0,46,26,CARGO,FAILURE
487,1,50,14,PASSENGER,FAILURE
488,1,45,51,PASSENGER,SUCCESS
489,0,30,37,CARGO,FAILURE
490,0,60,6,CARGO,FAILURE
491,0,43,50,PASSENGER,SUCCESS
492,1,47,40,CARGO,FAILURE
493,0,19,83,PASSENGER,SUCCESS
494,0,41,30,CARGO,SUCCESS
495,0,37,16,CARGO,FAILURE
496,0,49,22,CARGO,FAILURE
497,0,51,10,PASSENGER,FAILURE
498,0,36,27,CARGO,FAILURE
499,0,66,18,CARGO,FAILURE
500,1,41,75,PASSENGER,SUCCESS
501,1,28,87,PASSENGER,SUCCESS
502,0,32,45,PASSENGER,SUCCESS
503,0,45,26,PASSENGER,FAILURE
504,0,41,10,CARGO,FAILURE
505,1,37,22,CARGO,FAILURE
506,1,51,20,CARGO,FAILURE
507,0,42,33,CARGO,FAILURE
508,1,36,62,PASSENGER,SUCCESS
509,1,24,82,PASSENGER,SUCCESS
510,0,44,15,CARGO,FAILURE
511,1,26,61,PASSENGER,SUCCESS
512,1,26,52,PASSENGER,SUCCESS
513,0,57,5,CARGO,FAILURE
514,0,65,24,PASSENGER,FAILURE
515,0,41,26,PASSENGER,FAILURE
516,1,20,42,PASSENGER,SUCCESS
517,0,25,38,PASSENGER,SUCCESS
518,1,38,30,CARGO,FAILURE
519,0,41,9,CARGO,FAILURE
520,1,19,94,PASSENGER,SUCCESS
521,1,43,15,PASSENGER,FAILURE
522,0,41,40,PASSENGER,FAILURE
523,1,31,13,PASSENGER,FAILURE
524,1,36,15,PASSENGER,FAILURE
525,0,44,22,CARGO,FAILURE
526,0,67,19,CARGO,FAILURE
527,1,34,22,CARGO,FAILURE
528,1,34,51,PASSENGER,SUCCESS
529,1,63,15,CARGO,FAILURE
530,0,52,13,CARGO,FAILURE
531,0,43,12,CARGO,FAILURE
532,0,60,17,CARGO,FAILURE
533,1,56,17,CARGO,FAILURE
534,0,22,34,PASSENGER,SUCCESS
535,1,22,59,PASSENGER,SUCCESS
536,1,55,24,CARGO,FAILURE
537,1,20,79,PASSENGER,SUCCESS
538,1,31,36,CARGO,FAILURE
539,0,25,37,CARGO,SUCCESS
540,1,39,88,PASSENGER,SUCCESS
541,0,28,82,CARGO,SUCCESS
542,0,53,32,PASSENGER,FAILURE
543,1,45,30,PASSENGER,FAILURE
544,0,65,28,PASSENGER,FAILURE
545,1,42,27,CARGO,FAILURE
546,1,38,32,CARGO,FAILURE
547,0,30,44,PASSENGER,SUCCESS
548,1,43,85,PASSENGER,SUCCESS
549,1,68,15,PASSENGER,FAILURE
550,0,35,54,PASSENGER,SUCCESS
551,0,41,9,CARGO,FAILURE
552,1,61,36,CARGO,FAILURE
553,1,46,5,CARGO,FAILURE
554,0,35,30,CARGO,FAILURE
555,1,48,16,PASSENGER,FAILURE
556,0,32,33,CARGO,FAILURE
557,0,36,19,PASSENGER,FAILURE
558,1,30,54,PASSENGER,SUCCESS
559,0,49,10,PASSENGER,FAILURE
560,1,36,48,PASSENGER,SUCCESS
561,1,67,11,CARGO,FAILURE
562,1,30,8,CARGO,FAILURE
563,1,47,37,PASSENGER,FAILURE
564,1,64,30,PASSENGER,FAILURE
565,1,36,17,PASSENGER,FAILURE
566,0,46,35,CARGO,FAILURE
567,0,28,36,PASSENGER,SUCCESS
568,1,41,57,PASSENGER,SUCCESS
569,0,43,38,PASSENGER,SUCCESS
570,0,57,29,CARGO,FAILURE
571,0,50,31,PASSENGER,FAILURE
572,1,45,44,PASSENGER,SUCCESS
573,1,57,35,CARGO,FAILURE
574,0,44,27,CARGO,FAILURE
575,1,46,21,CARGO,FAILURE
576,1,58,26,CARGO,FAILURE
577,0,37,93,CARGO,SUCCESS
578,0,45,76,PASSENGER,SUCCESS
579,0,31,65,PASSENGER,SUCCESS
580,0,32,12,PASSENGER,FAILURE
581,1,30,32,CARGO,SUCCESS
582,1,35,17,CARGO,FAILURE
583,1,35,38,CARGO,FAILURE
584,1,63,6,PASSENGER,FAILURE
585,1,61,18,PASSENGER,FAILURE
586,1,40,73,PASSENGER,SUCCESS
587,0,26,58,PASSENGER,SUCCESS
588,1,54,11,CARGO,FAILURE
589,1,51,35,CARGO,FAILURE
590,1,47,31,PASSENGER,FAILURE
591,0,44,8,CARGO,FAILURE
592,1,41,5,CARGO,FAILURE
593,0,46,37,PASSENGER,FAILURE
594,1,41,39,CARGO,FAILURE
595,0,46,14,PASSENGER,FAILURE
596,1,27,77,CARGO,SUCCESS
597,0,63,36,CARGO,FAILURE
598,1,25,69,PASSENGER,SUCCESS
599,0,68,9,CARGO,FAILURE
600,0,41,64,PASSENGER,SUCCESS
601,0,38,86,PASSENGER,SUCCESS
602,1,33,74,CARGO,SUCCESS
603,0,36,79,PASSENGER,SUCCESS
604,1,31,90,PASSENGER,SUCCESS
605,0,34,14,CARGO,FAILURE
606,1,37,35,CARGO,FAILURE
607,1,62,36,CARGO,FAILURE
608,0,23,90,CARGO,SUCCESS
609,1,39,43,PASSENGER,SUCCESS
610,0,30,19,CARGO,FAILURE
611,1,37,24,PASSENGER,FAILURE
612,0,52,25,PASSENGER,FAILURE
613,0,69,35,CARGO,FAILURE
614,0,51,28,PASSENGER,FAILURE
615,0,57,27,CARGO,FAILURE
616,0,69,13,PASSENGER,FAILURE
617,0,30,11,CARGO,FAILURE
618,0,40,22,PASSENGER,FAILURE
619,1,67,31,CARGO,FAILURE
620,1,36,39,CARGO,SUCCESS
621,1,18,62,PASSENGER,SUCCESS
622,0,18,100,CARGO,SUCCESS
623,1,60,20,PASSENGER,FAILURE
624,1,42,17,CARGO,FAILURE
625,0,59,37,CARGO,FAILURE
626,1,21,38,PASSENGER,SUCCESS
627,1,32,74,PASSENGER,SUCCESS
628,1,51,10,CARGO,FAILURE
629,0,31,23,CARGO,FAILURE
630,1,31,17,CARGO,FAILURE
631,0,55,6,CARGO,FAILURE
632,0,36,14,CARGO,FAILURE
633,0,21,33,PASSENGER,SUCCESS
634,1,54,12,CARGO,FAILURE
635,1,35,10,CARGO,FAILURE
636,0,43,30,PASSENGER,SUCCESS
637,0,38,15,CARGO,FAILURE
638,0,35,32,PASSENGER,SUCCESS
639,1,65,30,CARGO,FAILURE
640,0,34,25,CARGO,FAILURE
641,1,51,27,PASSENGER,FAILURE
642,0,35,65,PASSENGER,SUCCESS
643,1,57,22,CARGO,FAILURE
644,1,33,77,CARGO,SUCCESS
645,0,54,27,CARGO,FAILURE
646,1,26,51,PASSENGER,SUCCESS
647,1,61,26,CARGO,FAILURE
648,1,44,44,PASSENGER,SUCCESS
649,1,52,34,CARGO,FAILURE
650,1,40,94,PASSENGER,SUCCESS
651,0,54,29,CARGO,FAILURE
652,1,24,100,PASSENGER,SUCCESS
653,1,67,13,CARGO,FAILURE
654,0,34,12,CARGO,FAILURE
655,0,38,32,CARGO,FAILURE
656,0,35,100,PASSENGER,SUCCESS
657,0,64,6,PASSENGER,FAILURE
658,0,51,20,CARGO,FAILURE
659,1,36,51,PASSENGER,SUCCESS
660,0,34,80,PASSENGER,SUCCESS
661,0,28,45,PASSENGER,SUCCESS
662,0,36,37,CARGO,FAILURE
663,0,39,70,PASSENGER,SUCCESS
664,0,34,27,PASSENGER,FAILURE
665,1,30,92,PASSENGER,SUCCESS
666,0,39,12,CARGO,FAILURE
667,0,65,25,CARGO,FAILURE
668,0,40,11,CARGO,FAILURE
669,1,70,23,CARGO,FAILURE
670,0,34,53,PASSENGER,SUCCESS
671,1,40,19,CARGO,FAILURE
672,0,36,15,PASSENGER,FAILURE
673,1,43,28,CARGO,FAILURE
